70-120-90_at_679.99nm_cut_at_1283.50Y_01.dat
24.01.2024
11:34:03
cut middle at Y: 1283.50
top cursor: 1343 down cursor: 1224 mean of: 119 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	460.420
516.122	438.521
516.250	429.462
516.378	425.807
516.506	424.025
516.635	429.916
516.763	431.067
516.891	432.521
517.019	434.042
517.147	430.504
517.275	427.479
517.403	434.992
517.531	428.571
517.660	430.723
517.788	432.807
517.916	431.706
518.044	432.521
518.172	433.487
518.300	431.252
518.428	433.328
518.556	433.891
518.685	431.975
518.813	434.958
518.941	439.790
519.069	436.092
519.197	435.420
519.325	433.681
519.453	439.286
519.581	442.748
519.710	438.681
519.838	445.849
519.966	440.034
520.094	442.807
520.222	443.353
520.350	445.412
520.478	448.067
520.606	450.210
520.735	450.370
520.863	453.252
520.991	455.908
521.119	450.370
521.247	451.538
521.375	453.824
521.503	458.924
521.631	457.261
521.760	455.739
521.888	460.538
522.016	463.891
522.144	464.571
522.272	462.277
522.400	463.706
522.528	468.210
522.656	460.513
522.785	467.445
522.913	468.454
523.041	460.504
523.169	467.261
523.297	470.269
523.425	468.160
523.553	467.513
523.681	467.336
523.810	473.504
523.938	478.706
524.066	473.193
524.194	471.840
524.322	472.008
524.450	472.109
524.578	468.328
524.706	472.286
524.835	467.387
524.963	471.672
525.091	476.345
525.219	473.639
525.347	472.966
525.475	477.697
525.603	475.529
525.731	471.714
525.860	476.193
525.988	474.277
526.116	468.983
526.244	474.731
526.372	472.218
526.500	474.924
526.628	476.580
526.756	474.235
526.885	476.966
527.013	480.874
527.141	478.496
527.269	477.412
527.397	477.622
527.525	476.840
527.653	477.034
527.781	478.437
527.910	486.655
528.038	483.622
528.166	483.815
528.294	480.168
528.422	480.471
528.550	490.815
528.678	480.487
528.806	484.025
528.935	486.899
529.063	490.790
529.191	491.277
529.319	483.580
529.447	496.613
529.575	497.395
529.703	491.286
529.831	497.966
529.960	493.580
530.088	498.681
530.216	493.092
530.344	497.269
530.472	501.866
530.600	496.471
530.728	495.975
530.856	505.513
530.985	500.580
531.113	501.034
531.241	501.924
531.369	507.109
531.497	503.588
531.625	511.546
531.753	500.756
531.881	506.336
532.010	509.555
532.138	508.101
532.266	502.370
532.394	507.815
532.522	502.739
532.650	509.084
532.778	512.840
532.906	504.899
533.035	507.269
533.163	505.118
533.291	501.109
533.419	503.538
533.547	508.269
533.675	503.328
533.803	499.378
533.931	505.672
534.060	501.672
534.188	504.336
534.316	506.891
534.444	508.050
534.572	508.345
534.700	508.227
534.828	503.370
534.956	510.176
535.085	503.790
535.213	510.311
535.341	504.655
535.469	514.294
535.597	512.538
535.725	517.462
535.853	516.992
535.981	515.000
536.110	517.933
536.238	520.924
536.366	523.966
536.494	517.983
536.622	525.546
536.750	519.487
536.878	523.773
537.006	526.017
537.135	528.832
537.263	527.286
537.391	535.412
537.519	529.303
537.647	527.639
537.775	533.378
537.903	535.286
538.031	538.202
538.160	533.950
538.288	539.630
538.416	536.681
538.544	536.462
538.672	541.008
538.800	538.916
538.928	543.672
539.056	539.521
539.185	546.151
539.313	541.471
539.441	542.202
539.569	550.319
539.697	545.689
539.825	545.840
539.953	545.924
540.081	542.109
540.210	544.807
540.338	552.832
540.466	549.975
540.594	548.714
540.722	541.613
540.850	544.748
540.978	550.151
541.106	549.765
541.235	555.050
541.363	549.639
541.491	550.361
541.619	544.874
541.747	551.429
541.875	550.109
542.003	543.210
542.131	549.521
542.260	551.672
542.388	554.445
542.516	557.630
542.644	550.370
542.772	550.134
542.900	552.168
543.028	552.445
543.156	554.361
543.285	551.538
543.413	553.143
543.541	559.311
543.669	557.412
543.797	557.521
543.925	555.151
544.053	563.471
544.181	558.513
544.310	560.042
544.438	559.445
544.566	562.597
544.694	563.647
544.822	556.176
544.950	564.487
545.078	566.168
545.206	567.731
545.335	563.034
545.463	571.496
545.591	567.950
545.719	569.924
545.847	565.479
545.975	572.261
546.103	564.403
546.231	576.798
546.360	566.773
546.488	570.479
546.616	572.849
546.744	576.496
546.872	572.000
547.000	579.756
547.128	571.261
547.256	575.630
547.385	569.832
547.513	570.403
547.641	582.756
547.769	578.513
547.897	578.773
548.025	586.840
548.153	581.462
548.281	579.832
