70-120-unpol_at_679.99nm_cut_at_1283.50Y_01.dat
24.01.2024
11:33:27
cut middle at Y: 1283.50
top cursor: 1343 down cursor: 1224 mean of: 119 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	1122.899
516.122	1064.118
516.250	1054.210
516.378	1023.739
516.506	1045.605
516.635	1040.714
516.763	1059.588
516.891	1059.387
517.019	1057.689
517.147	1065.992
517.275	1056.546
517.403	1061.218
517.531	1054.008
517.660	1048.798
517.788	1063.445
517.916	1070.042
518.044	1061.076
518.172	1062.840
518.300	1064.101
518.428	1059.336
518.556	1070.580
518.685	1074.487
518.813	1075.706
518.941	1091.563
519.069	1070.840
519.197	1074.429
519.325	1092.218
519.453	1091.311
519.581	1100.202
519.710	1085.723
519.838	1090.655
519.966	1090.908
520.094	1095.311
520.222	1099.798
520.350	1112.782
520.478	1115.328
520.606	1112.185
520.735	1118.882
520.863	1121.084
520.991	1130.303
521.119	1116.370
521.247	1123.126
521.375	1132.336
521.503	1136.664
521.631	1143.849
521.760	1149.731
521.888	1149.143
522.016	1155.294
522.144	1146.739
522.272	1154.076
522.400	1160.454
522.528	1168.639
522.656	1170.387
522.785	1170.739
522.913	1180.008
523.041	1180.000
523.169	1168.361
523.297	1171.109
523.425	1184.076
523.553	1181.143
523.681	1170.647
523.810	1194.546
523.938	1197.277
524.066	1181.874
524.194	1195.941
524.322	1193.437
524.450	1198.563
524.578	1184.176
524.706	1197.176
524.835	1189.857
524.963	1196.521
525.091	1178.891
525.219	1193.899
525.347	1185.739
525.475	1199.252
525.603	1199.261
525.731	1201.185
525.860	1201.992
525.988	1187.210
526.116	1190.286
526.244	1205.126
526.372	1194.462
526.500	1200.874
526.628	1218.563
526.756	1197.714
526.885	1211.966
527.013	1203.143
527.141	1207.496
527.269	1206.134
527.397	1217.319
527.525	1209.899
527.653	1206.815
527.781	1206.462
527.910	1222.655
528.038	1220.992
528.166	1233.899
528.294	1220.992
528.422	1213.235
528.550	1233.840
528.678	1227.555
528.806	1245.101
528.935	1241.588
529.063	1231.857
529.191	1232.462
529.319	1251.605
529.447	1252.227
529.575	1255.101
529.703	1257.908
529.831	1260.050
529.960	1251.891
530.088	1256.613
530.216	1267.319
530.344	1254.092
530.472	1257.899
530.600	1264.059
530.728	1273.496
530.856	1275.496
530.985	1269.008
531.113	1263.378
531.241	1281.143
531.369	1280.941
531.497	1280.370
531.625	1282.370
531.753	1270.345
531.881	1290.689
532.010	1287.471
532.138	1281.353
532.266	1282.328
532.394	1273.824
532.522	1276.933
532.650	1284.975
532.778	1282.269
532.906	1278.319
533.035	1289.613
533.163	1274.580
533.291	1274.126
533.419	1262.235
533.547	1279.756
533.675	1271.773
533.803	1270.050
533.931	1276.613
534.060	1282.739
534.188	1287.143
534.316	1287.370
534.444	1278.134
534.572	1292.866
534.700	1284.664
534.828	1276.227
534.956	1286.857
535.085	1291.361
535.213	1295.286
535.341	1301.538
535.469	1295.429
535.597	1305.134
535.725	1306.857
535.853	1320.471
535.981	1312.765
536.110	1326.790
536.238	1331.345
536.366	1330.092
536.494	1318.908
536.622	1329.378
536.750	1338.185
536.878	1337.983
537.006	1348.639
537.135	1352.815
537.263	1351.748
537.391	1373.580
537.519	1349.538
537.647	1373.916
537.775	1368.151
537.903	1377.555
538.031	1375.378
538.160	1380.622
538.288	1384.479
538.416	1383.655
538.544	1372.050
538.672	1393.529
538.800	1399.580
538.928	1391.437
539.056	1392.185
539.185	1405.714
539.313	1391.050
539.441	1398.244
539.569	1405.496
539.697	1409.303
539.825	1412.294
539.953	1407.697
540.081	1393.714
540.210	1408.874
540.338	1417.504
540.466	1412.966
540.594	1409.622
540.722	1400.538
540.850	1402.361
540.978	1407.647
541.106	1422.134
541.235	1425.479
541.363	1409.966
541.491	1412.924
541.619	1412.454
541.747	1404.092
541.875	1432.714
542.003	1406.689
542.131	1422.714
542.260	1422.218
542.388	1409.723
542.516	1428.017
542.644	1424.462
542.772	1429.319
542.900	1431.454
543.028	1438.857
543.156	1444.824
543.285	1441.269
543.413	1429.504
543.541	1438.185
543.669	1441.655
543.797	1445.294
543.925	1442.269
544.053	1455.697
544.181	1454.521
544.310	1434.739
544.438	1444.218
544.566	1450.378
544.694	1460.218
544.822	1458.185
544.950	1454.588
545.078	1446.782
545.206	1451.143
545.335	1472.092
545.463	1444.109
545.591	1464.445
545.719	1463.412
545.847	1456.782
545.975	1466.697
546.103	1451.723
546.231	1468.756
546.360	1467.412
546.488	1475.462
546.616	1474.815
546.744	1477.294
546.872	1469.109
547.000	1480.269
547.128	1475.924
547.256	1483.647
547.385	1474.101
547.513	1478.286
547.641	1476.706
547.769	1489.328
547.897	1480.286
548.025	1486.445
548.153	1485.370
548.281	1478.529
548.410	1493.513
548.538	1495.202
548.666	1491.235
548.794	1485.185
548.922	1494.622
549.050	1501.874
549.178	1496.017
549.306	1507.118
549.435	1519.613
549.563	1501.202
549.691	1497.529
549.819	1519.639
549.947	1513.294
550.075	1513.101
550.203	1502.050
550.331	1503.689
550.460	1512.630
550.588	1511.908
550.716	1528.908
550.844	1499.134
550.972	1509.571
551.100	1511.479
551.228	1513.193
551.356	1500.118
551.485	1505.748
551.613	1499.655
551.741	1497.765
551.869	1493.471
551.997	1493.202
552.125	1491.429
552.253	1497.496
552.381	1491.950
552.510	1482.294
552.638	1478.756
552.766	1490.756
552.894	1483.824
553.022	1487.185
553.150	1481.941
553.278	1480.899
553.406	1483.403
553.535	1481.966
553.663	1472.378
553.791	1477.471
553.919	1472.008
554.047	1489.529
554.175	1475.723
554.303	1474.571
554.431	1468.008
554.560	1487.042
554.688	1480.294
554.816	1488.269
554.944	1476.563
555.072	1481.782
555.200	1492.983
555.328	1478.017
555.456	1493.151
555.585	1491.580
555.713	1490.345
555.841	1501.202
555.969	1493.395
556.097	1498.706
556.225	1503.395
556.353	1511.471
556.481	1496.185
556.610	1518.538
556.738	1525.000
556.866	1526.924
556.994	1507.000
557.122	1509.370
557.250	1534.303
557.378	1532.563
557.506	1526.580
557.635	1534.479
