Lampe_Signal_0_at_679.99nm_cut_at_1286.00Y_01.dat
24.01.2024
11:22:56
cut middle at Y: 1286.00
top cursor: 1345 down cursor: 1227 mean of: 118 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	330.602
516.122	319.636
516.250	310.432
516.378	311.737
516.506	309.831
516.635	312.593
516.763	314.331
516.891	312.568
517.019	313.814
517.147	312.169
517.275	317.983
517.403	316.644
517.531	319.483
517.660	313.703
517.788	316.627
517.916	318.364
518.044	315.390
518.172	321.754
518.300	317.551
518.428	318.703
518.556	315.364
518.685	320.678
518.813	322.212
518.941	323.873
519.069	323.034
519.197	320.161
519.325	325.746
519.453	323.144
519.581	325.059
519.710	323.746
519.838	323.788
519.966	325.322
520.094	331.568
520.222	323.712
520.350	331.178
520.478	334.127
520.606	334.093
520.735	330.000
520.863	331.686
520.991	329.500
521.119	332.924
521.247	330.780
521.375	332.042
521.503	338.669
521.631	338.407
521.760	333.254
521.888	341.093
522.016	338.720
522.144	343.508
522.272	343.381
522.400	344.254
522.528	344.331
522.656	341.136
522.785	349.237
522.913	346.729
523.041	344.008
523.169	340.263
523.297	344.661
523.425	347.873
523.553	340.864
523.681	345.780
523.810	345.975
523.938	354.576
524.066	346.246
524.194	348.551
524.322	351.534
524.450	341.822
524.578	351.508
524.706	348.186
524.835	347.822
524.963	348.907
525.091	349.636
525.219	348.873
525.347	345.898
525.475	349.246
525.603	348.805
525.731	346.288
525.860	347.644
525.988	345.873
526.116	348.093
526.244	350.746
526.372	347.280
526.500	350.220
526.628	347.169
526.756	348.449
526.885	350.661
527.013	346.949
527.141	352.915
527.269	348.822
527.397	356.042
527.525	351.703
527.653	354.093
527.781	351.492
527.910	353.229
528.038	352.347
528.166	354.025
528.294	355.576
528.422	358.263
528.550	352.347
528.678	357.161
528.806	356.669
528.935	356.186
529.063	352.958
529.191	355.534
529.319	361.034
529.447	356.144
529.575	358.551
529.703	359.331
529.831	361.432
529.960	358.542
530.088	361.780
530.216	360.212
530.344	356.856
530.472	363.169
530.600	357.347
530.728	363.763
530.856	361.890
530.985	361.551
531.113	362.907
531.241	365.161
531.369	362.042
531.497	365.356
531.625	365.356
531.753	362.169
531.881	364.017
532.010	361.364
532.138	362.864
532.266	355.398
532.394	364.788
532.522	361.729
532.650	357.161
532.778	364.992
532.906	359.771
533.035	362.771
533.163	358.297
533.291	359.466
533.419	359.703
533.547	365.110
533.675	356.288
533.803	356.127
533.931	360.475
534.060	362.025
534.188	362.703
534.316	359.136
534.444	358.364
534.572	363.246
534.700	362.780
534.828	365.619
534.956	361.669
535.085	365.500
535.213	362.475
535.341	364.008
535.469	364.466
535.597	367.347
535.725	371.653
535.853	368.076
535.981	368.051
536.110	376.856
536.238	366.873
536.366	371.381
536.494	368.975
536.622	376.161
536.750	368.246
536.878	375.000
537.006	369.085
537.135	375.915
537.263	376.873
537.391	377.627
537.519	376.280
537.647	382.449
537.775	374.220
537.903	376.475
538.031	379.695
538.160	375.280
538.288	381.339
538.416	381.364
538.544	383.508
538.672	380.169
538.800	380.780
538.928	384.220
539.056	382.398
539.185	379.805
539.313	382.119
539.441	385.034
539.569	389.780
539.697	385.653
539.825	388.178
539.953	385.992
540.081	383.712
540.210	385.322
540.338	390.661
540.466	385.356
540.594	382.737
540.722	378.898
540.850	382.229
540.978	381.610
541.106	384.364
541.235	387.695
541.363	386.449
541.491	386.568
541.619	380.983
541.747	381.619
541.875	384.288
542.003	382.364
542.131	385.627
542.260	389.992
542.388	387.669
542.516	390.720
542.644	386.983
542.772	386.051
542.900	388.780
543.028	387.797
543.156	387.720
543.285	390.593
543.413	385.051
543.541	393.008
543.669	387.763
543.797	388.703
543.925	388.424
544.053	385.483
544.181	390.288
544.310	387.500
544.438	389.042
544.566	387.881
544.694	386.390
544.822	386.169
544.950	393.678
545.078	387.576
545.206	384.051
545.335	389.551
545.463	384.729
545.591	389.627
545.719	391.186
545.847	388.746
545.975	385.627
546.103	386.602
546.231	387.805
546.360	386.119
546.488	387.686
546.616	390.780
546.744	387.822
546.872	384.831
547.000	389.127
547.128	391.653
547.256	387.958
547.385	383.000
547.513	383.237
547.641	384.153
547.769	389.729
547.897	383.534
548.025	386.178
548.153	388.373
548.281	385.975
548.410	381.186
548.538	386.525
548.666	385.542
548.794	382.788
548.922	383.390
549.050	391.992
549.178	384.551
549.306	385.763
549.435	387.669
549.563	385.246
549.691	382.186
549.819	389.161
549.947	385.873
550.075	382.237
550.203	382.441
550.331	383.890
550.460	387.475
550.588	389.119
550.716	385.822
550.844	386.949
550.972	382.347
551.100	385.915
551.228	386.331
551.356	389.059
551.485	385.271
551.613	386.898
551.741	383.085
551.869	382.051
551.997	384.458
552.125	380.178
552.253	383.873
552.381	378.068
552.510	380.093
552.638	375.864
552.766	380.398
552.894	378.932
553.022	383.593
553.150	376.585
553.278	378.610
553.406	378.237
553.535	377.712
553.663	375.797
553.791	372.373
553.919	377.161
554.047	374.331
554.175	370.924
554.303	371.881
554.431	370.720
554.560	376.534
554.688	375.076
554.816	373.144
554.944	376.085
555.072	373.932
555.200	373.237
555.328	368.763
555.456	375.042
555.585	371.610
555.713	367.593
555.841	373.220
555.969	373.178
556.097	375.644
556.225	368.898
556.353	373.797
556.481	377.314
556.610	376.907
556.738	369.517
556.866	372.051
556.994	375.517
557.122	371.347
557.250	375.034
557.378	376.822
557.506	371.703
557.635	370.492
557.763	370.008
557.891	374.805
558.019	371.364
558.147	371.695
558.275	372.068
558.403	374.237
558.531	371.331
558.660	369.161
558.788	366.712
558.916	370.110
559.044	368.178
559.172	371.797
559.300	374.364
559.428	366.314
559.556	371.466
559.685	370.085
559.813	366.890
559.941	368.788
560.069	368.576
560.197	368.407
560.325	372.203
560.453	367.390
560.581	368.559
560.710	366.119
560.838	358.288
560.966	368.034
561.094	364.237
561.222	365.322
561.350	366.449
561.478	359.051
561.606	367.025
561.735	361.653
561.863	363.347
561.991	360.432
562.119	361.568
562.247	363.678
562.375	361.178
562.503	363.068
562.631	360.364
562.760	363.381
562.888	358.610
563.016	359.042
563.144	363.992
563.272	360.542
563.400	360.610
563.528	354.068
563.656	359.407
563.785	360.322
563.913	354.992
564.041	358.229
564.169	357.924
564.297	360.856
564.425	360.297
564.553	365.483
564.681	361.712
564.810	363.763
564.938	356.771
565.066	359.254
565.194	359.593
565.322	362.331
565.450	361.483
565.578	363.119
565.706	357.992
565.835	361.356
565.963	359.856
566.091	359.441
566.219	362.585
566.347	360.780
566.475	360.186
566.603	363.754
566.731	366.475
566.860	362.814
566.988	361.542
567.116	362.932
567.244	361.975
567.372	366.873
567.500	370.085
567.628	369.559
567.756	365.483
567.885	364.441
568.013	363.780
568.141	364.907
568.269	366.322
568.397	364.703
568.525	367.585
568.653	366.475
568.781	363.339
568.910	371.297
569.038	368.254
569.166	367.602
569.294	363.737
569.422	368.627
569.550	364.288
569.678	367.153
569.806	363.949
569.935	365.322
570.063	368.034
570.191	370.051
570.319	368.712
570.447	369.576
570.575	367.500
570.703	366.847
570.831	369.110
570.960	371.492
571.088	369.949
571.216	365.212
571.344	365.492
571.472	368.297
571.600	371.966
571.728	367.780
571.856	363.966
571.985	368.576
572.113	369.517
572.241	366.653
572.369	370.517
572.497	367.492
572.625	369.780
572.753	371.686
572.881	372.119
573.010	372.034
573.138	369.729
573.266	373.161
573.394	373.212
573.522	369.661
573.650	362.822
573.778	368.390
573.906	368.873
574.035	368.975
574.163	364.839
574.291	366.305
574.419	372.178
574.547	371.449
574.675	369.661
574.803	372.042
574.931	369.915
575.060	369.915
575.188	369.958
575.316	369.873
575.444	367.619
575.572	367.407
575.700	367.415
575.828	370.975
575.956	369.076
576.085	370.212
576.213	368.907
576.341	368.805
576.469	368.542
576.597	364.102
576.725	365.415
576.853	365.373
576.981	367.076
577.110	362.356
577.238	372.076
577.366	363.331
577.494	364.280
577.622	361.669
577.750	364.390
577.878	359.856
578.006	364.847
578.135	367.568
578.263	364.297
578.391	365.186
578.519	364.678
578.647	362.831
578.775	363.017
578.903	363.915
579.031	366.814
579.160	365.797
579.288	363.025
579.416	365.780
579.544	361.644
579.672	358.339
579.800	357.729
579.928	359.653
580.056	357.881
580.185	364.364
580.313	364.093
580.441	363.593
580.569	358.678
580.697	363.085
580.825	366.424
580.953	366.102
581.081	366.466
581.210	363.517
581.338	363.881
581.466	366.644
581.594	368.788
581.722	361.941
581.850	364.839
581.978	364.246
582.106	365.576
582.235	368.127
582.363	366.178
582.491	374.263
582.619	364.873
582.747	369.907
582.875	371.110
583.003	364.042
583.131	370.966
583.260	368.839
583.388	370.102
583.516	372.576
583.644	370.263
583.772	371.669
583.900	373.110
584.028	372.297
584.156	371.398
584.285	374.025
584.413	377.195
584.541	377.924
584.669	376.610
584.797	375.059
584.925	373.949
585.053	374.551
585.181	377.297
585.310	377.110
585.438	380.085
585.566	378.746
585.694	380.525
585.822	379.864
585.950	379.602
586.078	381.144
586.206	384.102
586.335	378.805
586.463	385.000
586.591	385.780
586.719	379.593
586.847	381.805
586.975	384.322
587.103	382.229
587.231	386.483
587.360	381.932
587.488	382.602
587.616	380.424
587.744	388.025
587.872	379.822
588.000	380.076
588.128	386.508
588.256	381.220
588.385	384.263
588.513	384.449
588.641	381.653
588.769	383.814
588.897	379.102
589.025	382.059
589.153	385.636
589.281	381.263
589.410	382.364
589.538	385.814
589.666	379.771
589.794	386.407
589.922	386.720
590.050	383.619
590.178	380.737
590.306	378.669
590.435	383.932
590.563	378.941
590.691	382.356
590.819	380.822
590.947	389.347
591.075	378.161
591.203	379.568
591.331	383.017
591.460	383.398
591.588	380.653
591.716	387.051
591.844	385.441
591.972	382.432
592.100	379.000
592.228	382.483
592.356	378.305
592.485	378.746
592.613	378.356
592.741	378.297
592.869	379.593
592.997	384.186
593.125	383.788
593.253	385.508
593.381	380.966
593.510	383.347
593.638	387.364
593.766	385.585
593.894	383.466
594.022	383.525
594.150	383.831
594.278	388.025
594.406	384.288
594.535	385.119
594.663	389.229
594.791	383.695
594.919	385.195
595.047	390.297
595.175	386.839
595.303	383.992
595.431	387.780
595.560	392.703
595.688	388.305
595.816	385.559
595.944	384.864
596.072	387.000
596.200	387.263
596.328	391.364
596.456	387.771
596.585	385.788
596.713	391.424
596.841	387.364
596.969	390.873
597.097	381.458
597.225	386.254
597.353	390.229
597.481	384.898
597.610	388.983
597.738	391.339
597.866	384.610
597.994	386.992
598.122	390.805
598.250	388.102
598.378	388.220
598.506	388.720
598.635	390.771
598.763	385.525
598.891	388.475
599.019	386.314
599.147	387.220
599.275	388.898
599.403	390.780
599.531	390.788
599.660	387.483
599.788	389.136
599.916	386.254
600.044	386.627
600.172	386.814
600.300	388.025
600.428	392.864
600.556	389.373
600.685	389.992
600.813	386.559
600.941	392.805
601.069	390.881
601.197	393.788
601.325	392.008
601.453	391.610
601.581	391.703
601.710	392.347
601.838	394.847
601.966	393.042
602.094	392.432
602.222	390.805
602.350	392.178
602.478	392.610
602.606	398.746
602.735	394.559
602.863	396.525
602.991	399.144
603.119	394.636
603.247	394.644
603.375	398.110
603.503	395.254
603.631	400.127
603.760	399.407
603.888	397.975
604.016	394.517
604.144	394.458
604.272	396.153
604.400	393.915
604.528	397.059
604.656	398.915
604.785	399.466
604.913	408.585
605.041	396.898
605.169	398.619
605.297	395.525
605.425	401.195
605.553	399.432
605.681	394.585
605.810	400.814
605.938	395.686
606.066	397.754
606.194	400.347
606.322	399.305
606.450	399.754
606.578	401.068
606.706	397.975
606.835	398.110
606.963	401.441
607.091	400.237
607.219	402.068
607.347	400.636
607.475	403.119
607.603	401.237
607.731	398.508
607.860	395.627
607.988	403.347
608.116	396.542
608.244	396.169
608.372	400.237
608.500	398.424
608.628	399.458
608.756	395.008
608.885	399.305
609.013	399.466
609.141	395.788
609.269	397.551
609.397	397.975
609.525	398.364
609.653	394.517
609.781	393.585
609.910	394.568
610.038	390.093
610.166	392.703
610.294	394.780
610.422	397.958
610.550	396.644
610.678	395.686
610.806	397.458
610.935	399.229
611.063	396.322
611.191	394.373
611.319	393.653
611.447	392.636
611.575	388.331
611.703	395.763
611.831	393.186
611.960	394.042
612.088	391.559
612.216	390.585
612.344	393.831
612.472	388.585
612.600	396.644
612.728	386.331
612.856	396.008
612.985	391.797
613.113	389.771
613.241	395.839
613.369	385.492
613.497	389.695
613.625	390.797
613.753	385.924
613.881	389.975
614.010	389.220
614.138	384.636
614.266	389.169
614.394	386.551
614.522	385.178
614.650	387.602
614.778	382.814
614.906	388.059
615.035	387.347
615.163	383.364
615.291	387.703
615.419	388.212
615.547	384.008
615.675	385.517
615.803	386.551
615.931	388.127
616.060	387.636
616.188	388.729
616.316	381.831
616.444	381.093
616.572	384.432
616.700	386.500
616.828	390.271
616.956	388.432
617.085	392.025
617.213	387.703
617.341	387.076
617.469	389.975
617.597	390.508
617.725	387.297
617.853	385.508
617.981	382.975
618.110	385.585
618.238	385.754
618.366	388.669
618.494	386.898
618.622	386.754
618.750	386.712
618.878	386.102
619.006	385.712
619.135	387.034
619.263	388.746
619.391	388.636
619.519	385.373
619.647	386.220
619.775	391.602
619.903	393.678
620.031	387.720
620.160	389.000
620.288	387.627
620.416	390.898
620.544	390.839
620.672	392.008
620.800	388.305
620.928	393.085
621.056	394.331
621.185	387.839
621.313	390.305
621.441	387.305
621.569	391.500
621.697	388.322
621.825	395.314
621.953	389.500
622.081	393.364
622.210	388.958
622.338	388.347
622.466	392.042
622.594	392.873
622.722	392.585
622.850	390.492
622.978	394.873
623.106	391.525
623.235	391.263
623.363	393.780
623.491	391.525
623.619	388.508
623.747	388.542
623.875	385.364
624.003	386.619
624.131	385.390
624.260	386.627
624.388	390.763
624.516	388.246
624.644	387.424
624.772	389.805
624.900	386.805
625.028	386.441
625.156	390.059
625.285	386.746
625.413	388.797
625.541	387.958
625.669	388.331
625.797	390.297
625.925	386.025
626.053	381.144
626.181	385.475
626.310	382.763
626.438	385.780
626.566	383.229
626.694	383.873
626.822	379.780
626.950	385.517
627.078	380.297
627.206	381.941
627.335	380.441
627.463	382.314
627.591	379.356
627.719	378.356
627.847	377.669
627.975	384.500
628.103	377.508
628.231	382.636
628.360	380.085
628.488	383.907
628.616	382.169
628.744	376.805
628.872	382.347
629.000	381.398
629.128	383.788
629.256	380.373
629.385	378.110
629.513	379.297
629.641	379.983
629.769	383.178
629.897	377.881
630.025	377.424
630.153	378.729
630.281	379.644
630.410	373.585
630.538	379.695
630.666	379.873
630.794	372.602
630.922	372.720
631.050	377.136
631.178	372.771
631.306	378.076
631.435	378.347
631.563	375.864
631.691	370.907
631.819	373.983
631.947	375.669
632.075	376.212
632.203	370.814
632.331	376.322
632.460	371.737
632.588	374.593
632.716	371.551
632.844	373.559
632.972	373.661
633.100	371.424
633.228	370.534
633.356	367.297
633.485	372.449
633.613	372.288
633.741	370.568
633.869	368.305
633.997	367.831
634.125	363.441
634.253	364.788
634.381	365.449
634.510	369.797
634.638	366.415
634.766	369.059
634.894	370.975
635.022	364.508
635.150	361.542
635.278	368.085
635.406	367.186
635.535	366.449
635.663	365.907
635.791	364.822
635.919	368.458
636.047	362.737
636.175	363.254
636.303	366.780
636.431	366.653
636.560	363.729
636.688	360.525
636.816	361.924
636.944	361.508
637.072	362.559
637.200	356.322
637.328	357.915
637.456	361.229
637.585	359.619
637.713	358.203
637.841	358.093
637.969	357.356
638.097	357.780
638.225	358.178
638.353	359.034
638.481	360.822
638.610	359.407
638.738	356.814
638.866	355.500
638.994	359.212
639.122	356.280
639.250	360.076
639.378	358.263
639.506	352.237
639.635	352.525
639.763	354.415
639.891	357.475
640.019	359.636
640.147	354.017
640.275	357.924
640.403	356.754
640.531	358.263
640.660	353.068
640.788	356.390
640.916	353.042
641.044	357.678
641.172	350.924
641.300	356.898
641.428	350.686
641.556	356.568
641.685	353.602
641.813	350.881
641.941	354.186
642.069	352.898
642.197	353.025
642.325	352.229
642.453	354.890
642.581	355.271
642.710	352.780
642.838	355.983
642.966	352.093
643.094	353.441
643.222	351.042
643.350	347.898
643.478	348.966
643.606	352.492
643.735	348.983
