Lampe_Signal_unpol_at_679.99nm_cut_at_1286.00Y_01.dat
24.01.2024
11:22:10
cut middle at Y: 1286.00
top cursor: 1345 down cursor: 1227 mean of: 118 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	928.390
516.122	869.373
516.250	852.398
516.378	848.636
516.506	854.161
516.635	859.593
516.763	864.678
516.891	865.712
517.019	862.331
517.147	863.076
517.275	863.941
517.403	870.534
517.531	860.102
517.660	867.059
517.788	865.237
517.916	868.076
518.044	858.746
518.172	869.525
518.300	871.415
518.428	861.763
518.556	880.229
518.685	875.458
518.813	870.508
518.941	876.390
519.069	875.983
519.197	873.475
519.325	878.924
519.453	870.051
519.581	888.271
519.710	884.229
519.838	886.288
519.966	893.593
520.094	891.305
520.222	891.831
520.350	900.602
520.478	902.525
520.606	896.297
520.735	900.797
520.863	908.381
520.991	918.992
521.119	916.653
521.247	916.407
521.375	923.220
521.503	920.466
521.631	922.314
521.760	927.441
521.888	935.347
522.016	931.314
522.144	930.907
522.272	931.797
522.400	938.356
522.528	945.814
522.656	941.076
522.785	955.254
522.913	949.110
523.041	943.907
523.169	942.288
523.297	950.093
523.425	954.593
523.553	946.746
523.681	953.042
523.810	959.254
523.938	956.525
524.066	951.102
524.194	959.042
524.322	964.246
524.450	956.407
524.578	952.475
524.706	962.610
524.835	948.102
524.963	961.220
525.091	952.568
525.219	961.136
525.347	948.703
525.475	956.780
525.603	958.831
525.731	957.636
525.860	957.381
525.988	945.805
526.116	951.220
526.244	960.339
526.372	953.610
526.500	960.805
526.628	963.754
526.756	953.288
526.885	959.398
527.013	962.093
527.141	962.915
527.269	960.915
527.397	960.703
527.525	969.924
527.653	962.627
527.781	954.661
527.910	974.415
528.038	971.610
528.166	969.797
528.294	975.576
528.422	969.483
528.550	978.322
528.678	971.839
528.806	984.856
528.935	990.271
529.063	985.297
529.191	980.924
529.319	990.703
529.447	994.220
529.575	990.373
529.703	986.178
529.831	1002.839
529.960	993.288
530.088	990.881
530.216	1004.686
530.344	995.407
530.472	991.585
530.600	997.703
