Rausch_Signal_at_679.99nm_cut_at_1286.00Y_01.dat
24.01.2024
11:20:41
cut middle at Y: 1286.00
top cursor: 1345 down cursor: 1227 mean of: 118 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
515.994	104.102
516.122	103.314
516.250	102.661
516.378	102.831
516.506	104.483
516.635	103.864
516.763	103.246
516.891	103.381
517.019	103.678
517.147	103.085
517.275	103.754
517.403	103.568
517.531	103.381
517.660	103.415
517.788	103.178
517.916	102.873
518.044	103.585
518.172	103.017
518.300	103.364
518.428	103.085
518.556	103.356
518.685	102.890
518.813	104.110
518.941	103.661
519.069	103.610
519.197	103.432
519.325	103.847
519.453	103.551
519.581	104.195
519.710	103.593
519.838	103.441
519.966	104.136
520.094	103.975
520.222	103.712
520.350	104.822
520.478	104.008
520.606	103.568
520.735	103.059
520.863	104.085
520.991	103.500
521.119	103.271
521.247	103.737
521.375	102.737
521.503	103.449
521.631	103.263
521.760	103.432
521.888	103.847
522.016	104.754
522.144	104.237
522.272	104.771
522.400	102.822
522.528	103.678
522.656	104.186
522.785	104.661
522.913	102.975
523.041	103.814
523.169	104.102
523.297	103.847
523.425	102.907
523.553	103.322
523.681	103.593
523.810	103.593
523.938	103.653
524.066	103.644
524.194	103.797
524.322	104.958
524.450	103.941
524.578	103.542
524.706	103.907
524.835	103.432
524.963	103.720
525.091	104.093
525.219	103.653
525.347	104.102
525.475	104.398
525.603	104.017
525.731	103.831
525.860	103.873
525.988	103.839
526.116	104.051
526.244	103.568
526.372	103.881
526.500	104.203
526.628	103.924
526.756	103.602
526.885	103.881
527.013	103.763
527.141	104.356
527.269	103.636
527.397	104.331
527.525	104.492
527.653	104.059
527.781	103.432
527.910	103.458
528.038	103.975
528.166	104.195
528.294	104.008
528.422	104.898
528.550	103.059
528.678	103.542
528.806	103.983
528.935	104.305
529.063	104.449
529.191	104.144
529.319	104.297
529.447	104.576
529.575	105.254
529.703	104.246
529.831	104.246
529.960	104.593
530.088	103.653
530.216	105.034
530.344	104.492
530.472	104.517
530.600	104.144
530.728	103.941
530.856	104.068
530.985	104.051
531.113	103.458
531.241	103.932
531.369	104.195
531.497	103.805
531.625	104.110
531.753	104.483
531.881	103.475
532.010	104.085
532.138	103.229
532.266	103.475
532.394	104.288
532.522	104.458
532.650	103.288
532.778	103.949
532.906	104.322
533.035	103.941
533.163	103.958
533.291	104.017
533.419	104.424
533.547	104.025
533.675	104.136
533.803	103.814
533.931	103.737
534.060	104.000
534.188	104.364
534.316	104.034
534.444	104.381
534.572	104.593
534.700	103.644
534.828	103.720
534.956	103.881
535.085	103.763
535.213	104.025
535.341	104.339
535.469	103.636
535.597	104.737
535.725	103.958
535.853	103.924
535.981	103.932
536.110	104.686
536.238	104.432
536.366	104.314
536.494	104.458
536.622	103.754
536.750	103.703
536.878	103.466
537.006	104.364
537.135	105.017
537.263	103.797
